CustomerID,OrderID,Age,AgeGroup,Gender,IncomeLevel,OrderFrequency,Location,PreferredCuisine
40,596A,22,18-25,Female,Medium,Low,Bangalore,South Indian
41,78AA,58,46+,Male,Low,Low,Bangalore,North Indian
42,8.70E+05,18,18-25,Male,Medium,High,Bangalore,South Indian
43,82C3,32,26-35,Male,Medium,Low,Bangalore,Biryani
44,5397,60,46+,Female,Low,Medium,Bangalore,Snacks
45,3A5A,42,36-45,Female,Low,Medium,Bangalore,Punjabi
46,DE01,32,26-35,Female,High,High,Bangalore,South Indian
47,8771,57,46+,Male,Low,High,Bangalore,North Indian
48,C141,55,46+,Male,Low,Low,Bangalore,Lucknowi
49,690F,32,26-35,Male,Low,Medium,Bangalore,North Indian
50,B4BA,47,46+,Female,High,Low,Bangalore,North Indian
51,1B58,54,46+,Male,Medium,High,Bangalore,North Indian
52,3F8D,22,18-25,Male,Medium,Low,Bangalore,Tandoor
53,7ECE,36,36-45,Female,Medium,High,Bangalore,North Indian
54,1365,18,18-25,Female,Low,Medium,Bangalore,North Indian
55,4B5B,57,46+,Male,Medium,Medium,Bangalore,Biryani
56,7405,28,26-35,Female,Medium,Medium,Bangalore,Tandoor
57,D02B,45,36-45,Female,Medium,Medium,Bangalore,Mughlai
58,1F0E,29,26-35,Male,Medium,Low,Bangalore,Chinese
59,7A1F,24,18-25,Female,High,Low,Bangalore,North Indian
60,CEAC,40,36-45,Female,Medium,Low,Bangalore,Snacks
61,A0A5,56,46+,Male,Medium,Medium,Bangalore,Gujarati
62,892D,41,36-45,Male,Low,Medium,Bangalore,South Indian
63,6118,26,26-35,Male,Medium,Low,Bangalore,Lucknowi
64,46FD,42,36-45,Male,Low,Low,Bangalore,Snacks
65,77EE,41,36-45,Male,Medium,High,Bangalore,South Indian
66,2192,36,36-45,Female,Medium,Low,Bangalore,Gujarati
67,4321,34,26-35,Male,Medium,Low,Bangalore,Snacks
68,1E2D,19,18-25,Female,Medium,High,Bangalore,Chinese
69,5.20E+03,56,46+,Female,Medium,Low,Bangalore,Punjabi
70,6C4D,58,46+,Female,Medium,Medium,Bangalore,Biryani
71,DD96,45,36-45,Male,Medium,Medium,Bangalore,Lucknowi
72,7EF7,52,46+,Female,Medium,Low,Bangalore,Mughlai
73,C918,60,46+,Female,Medium,Medium,Bangalore,Desserts
74,2391,40,36-45,Female,Low,High,Bangalore,Lucknowi
75,7DDD,51,46+,Female,Medium,Low,Bangalore,North Indian
76,D92F,20,18-25,Male,Low,Medium,Bangalore,Punjabi
77,D902,33,26-35,Female,High,High,Bangalore,Mughlai
78,C63E,24,18-25,Male,Low,High,Bangalore,Snacks
79,7B03,59,46+,Female,Medium,Low,Bangalore,Punjabi
80,70B1,27,26-35,Female,Low,Medium,Bangalore,Chinese
81,8DE9,50,46+,Male,Medium,Low,Bangalore,Snacks
82,75DC,19,18-25,Female,High,Medium,Bangalore,North Indian
83,416F,25,18-25,Male,High,Low,Bangalore,Lucknowi
84,D4DA,20,18-25,Male,Medium,Low,Bangalore,Biryani
85,B59B,45,36-45,Male,Medium,Low,Bangalore,Lucknowi
86,6A7,55,46+,Female,Medium,High,Bangalore,Chinese
87,ADAE,19,18-25,Male,Medium,Medium,Bangalore,Chinese
88,43B9,34,26-35,Female,Medium,High,Bangalore,Snacks
89,9E8A,37,36-45,Female,Low,Low,Bangalore,Lucknowi
90,1B40,40,36-45,Male,Low,High,Bangalore,Punjabi
91,B4FB,57,46+,Female,Low,High,Bangalore,Desserts
92,5B70,40,36-45,Female,Medium,Low,Bangalore,Biryani
93,7ADA,27,26-35,Female,High,Medium,Bangalore,North Indian
94,6357,33,26-35,Female,Low,High,Bangalore,Punjabi
95,A200,54,46+,Male,High,Low,Bangalore,Mughlai
96,9BF9,43,36-45,Male,Medium,Low,Bangalore,Punjabi
97,555D,18,18-25,Female,Medium,Medium,Bangalore,Chinese
98,8D83,54,46+,Female,Medium,High,Bangalore,Biryani
99,8A06,44,36-45,Female,Medium,Medium,Bangalore,Biryani
100,1.20E+08,25,18-25,Male,Medium,Medium,Bangalore,Mughlai
101,CEE,26,26-35,Male,High,Medium,Bangalore,Tandoor
102,5A07,57,46+,Female,High,High,Bangalore,Chinese
103,340F,40,36-45,Female,Low,Low,Bangalore,Gujarati
104,AA97,55,46+,Female,Medium,Low,Bangalore,Punjabi
105,6EDB,60,46+,Male,High,Medium,Bangalore,Chinese
106,AABD,24,18-25,Male,Medium,Medium,Bangalore,South Indian
107,1494,22,18-25,Male,Medium,High,Bangalore,Lucknowi
108,1875,43,36-45,Female,Low,Medium,Bangalore,Lucknowi
109,7E1F,33,26-35,Female,High,High,Bangalore,Punjabi
110,8B39,19,18-25,Male,High,Medium,Bangalore,Lucknowi
111,6E9D,40,36-45,Male,Medium,Low,Bangalore,Chinese
112,1B6A,33,26-35,Female,Medium,Medium,Bangalore,Tandoor
113,7BD7,38,36-45,Male,Medium,Low,Bangalore,Chinese
114,1A54,29,26-35,Male,Medium,High,Bangalore,Punjabi
115,819D,41,36-45,Male,Low,Medium,Bangalore,North Indian
116,66F1,18,18-25,Female,High,Medium,Bangalore,North Indian
117,4C13,25,18-25,Female,High,High,Bangalore,South Indian
118,4CAB,18,18-25,Female,Medium,High,Bangalore,Mughlai
119,AFC4,48,46+,Male,Low,Medium,Bangalore,South Indian
120,1655,34,26-35,Male,High,Low,Bangalore,South Indian
121,D6EF,27,26-35,Female,Low,Low,Bangalore,Gujarati
122,9873,21,18-25,Female,High,Low,Bangalore,Snacks
123,92EC,44,36-45,Male,Medium,Low,Bangalore,Gujarati
124,A20A,21,18-25,Female,Low,Medium,Bangalore,Mughlai
125,D2B0,44,36-45,Male,Medium,Medium,Bangalore,South Indian
126,5561,45,36-45,Female,Medium,High,Bangalore,Mughlai
127,9151,47,46+,Female,Low,Low,Bangalore,Lucknowi
128,C677,25,18-25,Male,Low,Medium,Bangalore,Punjabi
129,A04,34,26-35,Female,High,Low,Bangalore,Tandoor
130,58C2,24,18-25,Female,Medium,High,Bangalore,Snacks
131,50C4,28,26-35,Male,Medium,Low,Bangalore,Tandoor
132,6234,43,36-45,Male,Medium,High,Bangalore,South Indian
133,6445,18,18-25,Male,Medium,Low,Bangalore,South Indian
134,33DC,60,46+,Male,Medium,High,Bangalore,North Indian
135,ACD8,47,46+,Female,Medium,Medium,Bangalore,Gujarati
136,DEB4,21,18-25,Male,Medium,Low,Bangalore,Desserts
137,D446,41,36-45,Male,Medium,Low,Bangalore,South Indian
138,6436,39,36-45,Female,Low,Medium,Bangalore,Mughlai
139,8B2B,40,36-45,Male,Low,Medium,Bangalore,Desserts
140,33A0,42,36-45,Male,Low,High,Bangalore,Tandoor
141,B012,25,18-25,Female,Low,Low,Bangalore,Mughlai
142,4F3C,50,46+,Male,Low,High,Bangalore,South Indian
143,B209,22,18-25,Male,Medium,Medium,Bangalore,North Indian
144,4F9A,43,36-45,Female,Low,High,Bangalore,Desserts
145,9692,51,46+,Female,Low,High,Bangalore,Chinese
146,7BF,26,26-35,Female,Medium,Low,Bangalore,Lucknowi
147,3B2E,50,46+,Male,Low,Medium,Bangalore,Gujarati
148,2CB6,34,26-35,Female,High,Medium,Bangalore,Punjabi
149,205D,18,18-25,Female,Medium,Medium,Bangalore,North Indian
150,AC01,58,46+,Male,High,Medium,Bangalore,North Indian
151,AFF,53,46+,Male,High,High,Bangalore,Gujarati
152,A3A6,39,36-45,Male,High,Medium,Bangalore,South Indian
153,2.80E+10,26,26-35,Female,Medium,High,Bangalore,Chinese
154,53EA,26,26-35,Male,Low,Medium,Bangalore,Lucknowi
155,CD30,57,46+,Male,Low,High,Bangalore,Mughlai
156,57CE,48,46+,Male,High,High,Bangalore,Chinese
157,9646,23,18-25,Male,Medium,Medium,Bangalore,Tandoor
158,33DD,42,36-45,Male,High,Low,Bangalore,Mughlai
159,7096,24,18-25,Female,Medium,Medium,Bangalore,Snacks
160,BC03,29,26-35,Female,Medium,Medium,Bangalore,Lucknowi
161,5AA4,46,46+,Female,Low,Medium,Bangalore,North Indian
162,B041,47,46+,Female,Medium,Medium,Bangalore,Mughlai
163,5145,19,18-25,Male,Low,High,Bangalore,Desserts
164,CDF 4.00,56,46+,Male,Medium,Medium,Bangalore,Snacks
165,326E,50,46+,Male,Low,Medium,Bangalore,Chinese
166,8028,22,18-25,Male,High,Medium,Bangalore,Punjabi
167,5FD4,38,36-45,Female,Medium,Medium,Bangalore,Snacks
168,A14D,35,26-35,Female,High,High,Bangalore,Tandoor
169,268B,25,18-25,Female,High,High,Bangalore,Desserts
170,711A,50,46+,Male,Low,Low,Bangalore,Chinese
171,21C3,52,46+,Male,Low,Medium,Bangalore,Gujarati
172,32B0,60,46+,Male,Medium,Medium,Bangalore,Lucknowi
173,94DD,22,18-25,Female,Medium,Medium,Bangalore,Biryani
174,8227,39,36-45,Male,Medium,Medium,Bangalore,Snacks
175,8322,51,46+,Female,Medium,Medium,Bangalore,North Indian
176,A635,42,36-45,Male,Medium,Medium,Bangalore,Biryani
177,33BE,56,46+,Male,Low,Medium,Bangalore,Mughlai
178,3D21,43,36-45,Male,Medium,High,Bangalore,Biryani
179,D152,41,36-45,Male,Medium,Medium,Bangalore,Punjabi
180,4E5A,35,26-35,Male,High,Medium,Bangalore,Lucknowi
181,7317,18,18-25,Female,High,Medium,Bangalore,Desserts
182,A077,40,36-45,Female,Low,Medium,Bangalore,Mughlai
183,8FA0,50,46+,Male,High,Low,Bangalore,Gujarati
184,7B54,30,26-35,Male,Low,Medium,Bangalore,Gujarati
185,65B1,47,46+,Male,Medium,Low,Bangalore,Mughlai
186,B22B,23,18-25,Male,Medium,Low,Bangalore,Tandoor
187,1A31,55,46+,Male,Low,High,Bangalore,Lucknowi
188,C2BA,20,18-25,Male,Medium,Low,Bangalore,Gujarati
189,8B86,58,46+,Female,Medium,High,Bangalore,Punjabi
190,D4DF,42,36-45,Female,Low,Low,Bangalore,Desserts
191,9ABF,54,46+,Male,Medium,Low,Bangalore,South Indian
192,768D,51,46+,Male,High,Low,Bangalore,South Indian
193,2C5A,44,36-45,Male,High,Low,Bangalore,Lucknowi
194,4291,28,26-35,Female,Low,Medium,Bangalore,Biryani
195,B4E4,45,36-45,Female,Low,Low,Bangalore,Tandoor
196,7820,24,18-25,Male,Medium,High,Bangalore,Punjabi
197,7D1A,20,18-25,Female,Low,High,Bangalore,South Indian
198,25A5,47,46+,Male,Medium,Low,Bangalore,Gujarati
199,DD8C,50,46+,Female,Low,Medium,Bangalore,Punjabi
200,4D6A,45,36-45,Male,Medium,Medium,Bangalore,Gujarati
201,9869,59,46+,Male,Medium,Low,Bangalore,Mughlai
202,4B99,26,26-35,Female,Low,Low,Bangalore,South Indian
203,949A,47,46+,Female,High,Medium,Bangalore,Lucknowi
204,665B,18,18-25,Female,Medium,Low,Bangalore,North Indian
205,D086,35,26-35,Female,Medium,High,Bangalore,Gujarati
206,7F7E,36,36-45,Female,Medium,High,Bangalore,Lucknowi
207,411E,36,36-45,Female,Medium,Medium,Bangalore,Lucknowi
208,5CDE,55,46+,Female,Low,Low,Bangalore,Mughlai
209,5.00E+22,28,26-35,Female,Low,Medium,Bangalore,South Indian
210,836D,26,26-35,Female,Medium,Low,Bangalore,South Indian
211,29DD,23,18-25,Female,Low,Low,Bangalore,Desserts
212,96C3,22,18-25,Male,Low,Medium,Bangalore,Tandoor
213,2F75,34,26-35,Male,Medium,Medium,Bangalore,Chinese
214,4248,30,26-35,Male,Low,Low,Bangalore,Punjabi
215,92DD,49,46+,Male,Low,Low,Bangalore,Lucknowi
216,54B6,23,18-25,Male,Medium,Medium,Bangalore,Punjabi
217,9150,18,18-25,Male,Medium,Low,Bangalore,Punjabi
218,D044,54,46+,Female,High,Low,Bangalore,South Indian
219,6D8F,39,36-45,Male,Low,Low,Bangalore,North Indian
220,1.10E+05,19,18-25,Male,High,High,Bangalore,Punjabi
221,BEB1,43,36-45,Female,Medium,Low,Bangalore,Biryani
222,D2E5,58,46+,Male,Medium,Low,Bangalore,Biryani
223,B2B,35,26-35,Male,Medium,High,Bangalore,Lucknowi
224,57D0,25,18-25,Male,Medium,Low,Bangalore,Punjabi
225,2C0B,38,36-45,Female,Medium,Medium,Bangalore,Lucknowi
226,223B,31,26-35,Male,Low,Low,Bangalore,Lucknowi
227,9BFD,54,46+,Male,Medium,Medium,Bangalore,Biryani
228,685C,44,36-45,Male,High,Low,Bangalore,Tandoor
229,340D,37,36-45,Male,Low,Low,Bangalore,Lucknowi
230,9205,42,36-45,Female,Low,Medium,Bangalore,North Indian
231,3D6A,59,46+,Male,Medium,Medium,Bangalore,Mughlai
232,B6AA,26,26-35,Male,Medium,Low,Bangalore,Tandoor
233,3730,55,46+,Male,High,High,Bangalore,Snacks
234,B76A,48,46+,Female,Low,High,Bangalore,North Indian
235,C371,48,46+,Female,Medium,High,Bangalore,Mughlai
236,A0D3,35,26-35,Male,Medium,Low,Bangalore,Lucknowi
237,A2DA,44,36-45,Male,Medium,Medium,Bangalore,Snacks
238,BB2,34,26-35,Female,Low,Low,Bangalore,Desserts
239,2D82,55,46+,Female,Low,Medium,Bangalore,Tandoor
240,3D76,18,18-25,Male,Medium,Low,Bangalore,Lucknowi
241,353D,42,36-45,Male,Medium,Medium,Bangalore,South Indian
242,293C,43,36-45,Male,High,Medium,Bangalore,Mughlai
243,83AD,32,26-35,Female,High,Medium,Bangalore,Chinese
244,BB48,36,36-45,Male,High,Low,Bangalore,Biryani
245,DBDD,19,18-25,Male,Medium,Low,Bangalore,Mughlai
246,8273,43,36-45,Female,High,Low,Bangalore,Gujarati
247,A03A,44,36-45,Male,Medium,Medium,Bangalore,Desserts
248,9.00E+79,21,18-25,Female,Medium,Low,Bangalore,Biryani
249,6C6,58,46+,Female,Low,Medium,Bangalore,Tandoor
250,B81A,52,46+,Male,Low,Medium,Bangalore,Biryani
251,6742,23,18-25,Female,Low,Low,Bangalore,Desserts
252,3493,21,18-25,Male,Low,Medium,Bangalore,Gujarati
253,9D8,50,46+,Male,Low,Medium,Bangalore,Desserts
254,6DF6,45,36-45,Female,Low,Medium,Bangalore,Biryani
255,2D53,39,36-45,Female,Medium,Medium,Bangalore,Gujarati
256,AAD,56,46+,Male,Low,Low,Bangalore,Chinese
257,7DCF,40,36-45,Male,Medium,High,Bangalore,Mughlai
258,1EFE,21,18-25,Male,Low,Medium,Bangalore,Punjabi
259,D1B8,28,26-35,Female,Medium,Medium,Bangalore,Snacks
260,B37,59,46+,Male,Low,High,Bangalore,Biryani
261,9ACC,32,26-35,Male,Medium,Low,Bangalore,Lucknowi
262,917F,50,46+,Female,Low,High,Bangalore,Gujarati
263,D306,27,26-35,Male,Medium,Low,Bangalore,Lucknowi
264,30DF,43,36-45,Female,Medium,Low,Bangalore,Punjabi
265,7170,55,46+,Male,Medium,High,Bangalore,North Indian
266,3442,43,36-45,Female,Medium,High,Bangalore,Tandoor
267,A816,36,36-45,Female,High,Medium,Bangalore,North Indian
268,A189,19,18-25,Female,Low,Low,Bangalore,Desserts
269,D7AA,23,18-25,Male,Medium,Low,Bangalore,Tandoor
270,4.00E+87,20,18-25,Male,Medium,Low,Bangalore,Tandoor
271,B619,38,36-45,Male,High,Medium,Bangalore,Chinese
272,2E4E,55,46+,Female,Medium,Low,Bangalore,Mughlai
273,E48,26,26-35,Female,Medium,Medium,Bangalore,Biryani
274,1CF1,28,26-35,Male,Medium,Low,Bangalore,Punjabi
275,7023,44,36-45,Female,Low,Medium,Bangalore,Chinese
276,5.00E+14,40,36-45,Male,Medium,Low,Bangalore,Chinese
277,A98F,57,46+,Male,High,Medium,Bangalore,Gujarati
278,AE16,53,46+,Male,High,Medium,Bangalore,Chinese
279,8.10E+10,56,46+,Female,Low,Low,Bangalore,Tandoor
280,603B,45,36-45,Male,Low,Low,Bangalore,Lucknowi
281,6.00E+40,44,36-45,Male,Medium,Medium,Bangalore,Punjabi
282,A805,43,36-45,Male,Low,Low,Bangalore,Mughlai
283,469E,40,36-45,Female,Low,Low,Bangalore,Desserts
284,8DC0,21,18-25,Male,Low,Low,Bangalore,Punjabi
285,9247,21,18-25,Male,High,Medium,Bangalore,Tandoor
286,6CBA,20,18-25,Female,Medium,High,Bangalore,Tandoor
287,D883,41,36-45,Female,Medium,Medium,Bangalore,Snacks
288,88C1,19,18-25,Male,Medium,Low,Bangalore,Chinese
289,93EF,38,36-45,Female,Medium,Medium,Bangalore,Mughlai
290,901,34,26-35,Male,Medium,High,Bangalore,South Indian
291,E13,23,18-25,Female,Low,Medium,Bangalore,Desserts
292,D00F,37,36-45,Female,Medium,Medium,Bangalore,Punjabi
293,5.00E+92,43,36-45,Female,Low,Low,Bangalore,North Indian
294,AAA,55,46+,Female,Low,Low,Bangalore,South Indian
295,9B1B,31,26-35,Male,Medium,Low,Bangalore,Chinese
296,1A6C,43,36-45,Female,Medium,Low,Bangalore,North Indian
297,7769,48,46+,Male,Medium,Medium,Bangalore,Punjabi
298,2.00E+57,23,18-25,Male,Medium,High,Bangalore,Mughlai
299,3F7D,22,18-25,Female,Low,Medium,Bangalore,Mughlai
300,C459,32,26-35,Male,Low,High,Bangalore,South Indian
301,5BA0,44,36-45,Female,Medium,Low,Bangalore,Biryani
302,1557,20,18-25,Female,High,High,Bangalore,Gujarati
303,2A32,18,18-25,Female,Medium,High,Bangalore,Tandoor
304,9E3B,53,46+,Female,High,High,Bangalore,Punjabi
305,68BA,24,18-25,Male,Medium,High,Bangalore,Gujarati
306,7F88,26,26-35,Female,Medium,Medium,Bangalore,Punjabi
307,72F9,58,46+,Female,Low,High,Bangalore,South Indian
308,699A,44,36-45,Female,Medium,Medium,Bangalore,North Indian
309,78A7,53,46+,Female,Medium,Medium,Bangalore,Chinese
310,507F,32,26-35,Male,Low,High,Bangalore,Punjabi
311,2100,46,46+,Male,High,Medium,Bangalore,Snacks
312,B66,39,36-45,Female,Medium,Medium,Bangalore,Desserts
313,2B82,22,18-25,Female,Medium,Medium,Bangalore,Lucknowi
314,5D32,43,36-45,Male,Medium,Low,Bangalore,Punjabi
315,9DA6,49,46+,Female,High,Medium,Bangalore,Biryani
316,5.20E+01,27,26-35,Female,Medium,Medium,Bangalore,Punjabi
317,8153,29,26-35,Male,Medium,Medium,Bangalore,Chinese
318,B0B2,56,46+,Male,Medium,Medium,Bangalore,Biryani
319,37B4,43,36-45,Male,High,Medium,Bangalore,Snacks
320,2363,33,26-35,Male,Low,Low,Bangalore,Gujarati
321,7C78,26,26-35,Female,Medium,Low,Bangalore,South Indian
322,7C01,42,36-45,Male,Low,Low,Bangalore,Gujarati
323,5B28,26,26-35,Female,Medium,Low,Bangalore,Snacks
324,BB36,18,18-25,Male,Medium,High,Bangalore,Tandoor
325,6D6C,44,36-45,Male,Medium,Medium,Bangalore,Punjabi
326,38DF,31,26-35,Female,Medium,Medium,Bangalore,South Indian
327,1DB3,58,46+,Female,Medium,Low,Bangalore,Punjabi
328,A8D7,37,36-45,Male,High,Medium,Bangalore,Chinese
329,89A,25,18-25,Female,Low,High,Bangalore,Lucknowi
330,A0B9,34,26-35,Female,Low,High,Bangalore,Chinese
331,BCDF,19,18-25,Male,Medium,Medium,Bangalore,Chinese
332,66BF,30,26-35,Male,Medium,High,Bangalore,Chinese
333,6C44,54,46+,Male,High,High,Bangalore,Tandoor
334,3B21,44,36-45,Female,High,Medium,Bangalore,Gujarati
335,5EC6,53,46+,Male,Medium,Medium,Bangalore,South Indian
336,19DF,40,36-45,Male,Low,High,Bangalore,Punjabi
337,7298,35,26-35,Male,Low,Medium,Bangalore,Lucknowi
338,ADCB,41,36-45,Male,Low,Low,Bangalore,Desserts
339,1984,20,18-25,Female,Low,High,Bangalore,South Indian
340,2460,56,46+,Female,Low,High,Bangalore,Snacks
341,A925,39,36-45,Female,Medium,Medium,Bangalore,Mughlai
342,1630,39,36-45,Male,Medium,Medium,Bangalore,North Indian
343,B849,38,36-45,Male,High,Medium,Bangalore,Lucknowi
344,B47E,60,46+,Male,Low,Low,Bangalore,Mughlai
345,E95,44,36-45,Male,Medium,Low,Bangalore,Chinese
346,81D7,22,18-25,Female,Medium,High,Bangalore,North Indian
347,EA8,47,46+,Male,Medium,High,Bangalore,Punjabi
348,8029,22,18-25,Female,High,High,Bangalore,North Indian
349,6A01,30,26-35,Male,Medium,Low,Bangalore,Desserts
350,8CC8,56,46+,Female,Low,Medium,Bangalore,Snacks
351,3319,37,36-45,Male,Medium,Medium,Bangalore,Snacks
352,4B27,29,26-35,Female,Medium,High,Bangalore,Snacks
353,489D,40,36-45,Male,High,Medium,Bangalore,Punjabi
354,E0AB,39,36-45,Female,Medium,Low,Bangalore,Desserts
355,58B4,25,18-25,Male,Medium,High,Bangalore,Punjabi
356,B77B,43,36-45,Male,Medium,High,Bangalore,South Indian
357,9D1,60,46+,Male,Low,Low,Bangalore,Snacks
358,1D1B,24,18-25,Male,Medium,Medium,Bangalore,Biryani
359,C649,44,36-45,Female,Medium,Medium,Bangalore,Tandoor
360,AC94,19,18-25,Female,Low,High,Bangalore,Desserts
361,8598,22,18-25,Female,Medium,Low,Bangalore,Tandoor
362,89FB,27,26-35,Male,Medium,Medium,Bangalore,Lucknowi
363,A5B3,26,26-35,Female,Medium,Low,Bangalore,Punjabi
364,B036,56,46+,Male,Medium,Low,Bangalore,Mughlai
365,48BC,26,26-35,Female,Medium,Medium,Bangalore,Chinese
366,BCF1,45,36-45,Female,High,Low,Bangalore,Mughlai
367,1560,25,18-25,Male,Low,Medium,Bangalore,South Indian
368,904F,18,18-25,Male,High,High,Bangalore,South Indian
369,AAA3,23,18-25,Male,Medium,Medium,Bangalore,Mughlai
370,BD6E,23,18-25,Male,Medium,Low,Bangalore,Chinese
371,59AA,35,26-35,Male,Medium,Medium,Bangalore,North Indian
372,45EA,18,18-25,Female,High,Medium,Bangalore,Snacks
373,698D,44,36-45,Male,High,Medium,Bangalore,Gujarati
374,94DE,22,18-25,Female,High,Medium,Bangalore,Mughlai
375,D334,40,36-45,Male,Low,Low,Bangalore,Mughlai
376,9861,54,46+,Female,Medium,Medium,Bangalore,Gujarati
377,1AFF,57,46+,Female,Medium,Low,Bangalore,Biryani
378,34C2,46,46+,Female,Low,Medium,Bangalore,Desserts
379,CE05,21,18-25,Female,Medium,Medium,Bangalore,Mughlai
380,9F8D,39,36-45,Male,Medium,Medium,Bangalore,Mughlai
381,3609,27,26-35,Female,High,Low,Bangalore,Punjabi
382,492F,49,46+,Female,Low,Low,Bangalore,Chinese
383,C1D8,18,18-25,Female,Medium,Medium,Bangalore,Snacks
384,5269,19,18-25,Female,Low,Medium,Bangalore,Mughlai
385,626D,60,46+,Female,Low,Low,Bangalore,Biryani
386,4A2E,57,46+,Female,Medium,Low,Bangalore,Biryani
387,500C,50,46+,Male,Medium,Low,Bangalore,Chinese
388,32F2,45,36-45,Female,Low,Medium,Bangalore,Snacks
389,6569,26,26-35,Male,Low,Low,Bangalore,Punjabi
390,D3F,45,36-45,Male,Medium,Medium,Bangalore,North Indian
391,54EC,58,46+,Female,High,Medium,Bangalore,South Indian
392,8111,29,26-35,Male,Medium,High,Bangalore,Biryani
393,A406,19,18-25,Male,Low,Medium,Bangalore,Gujarati
394,441,20,18-25,Male,Medium,Medium,Bangalore,Tandoor
395,4CEE,58,46+,Male,Medium,Low,Bangalore,Desserts
396,355C,33,26-35,Female,Low,Medium,Bangalore,Mughlai
397,A129,37,36-45,Male,High,Medium,Bangalore,Biryani
398,1954,37,36-45,Male,Medium,High,Bangalore,Punjabi
399,B46,32,26-35,Female,Low,High,Bangalore,Gujarati
400,55D5,22,18-25,Female,Medium,Medium,Bangalore,Gujarati
401,83A6,18,18-25,Male,Medium,Low,Bangalore,Chinese
402,E1FB,19,18-25,Male,Medium,High,Bangalore,Biryani
403,85BE,32,26-35,Male,Medium,Medium,Bangalore,North Indian
404,BED1,45,36-45,Male,Medium,Low,Bangalore,Punjabi
405,560C,60,46+,Male,Medium,Medium,Bangalore,Desserts
406,3929,35,26-35,Male,Low,Medium,Bangalore,Mughlai
407,55C5,19,18-25,Female,Medium,Medium,Bangalore,Biryani
408,AD28,27,26-35,Female,High,High,Bangalore,Gujarati
409,4974,50,46+,Male,Low,Medium,Bangalore,Punjabi
410,3B68,39,36-45,Female,Medium,Medium,Bangalore,South Indian
411,9A6A,27,26-35,Female,Low,High,Bangalore,Chinese
412,D668,60,46+,Male,High,Medium,Bangalore,North Indian
413,9DE9,41,36-45,Male,Medium,Low,Bangalore,Biryani
414,2D35,31,26-35,Female,Low,Medium,Bangalore,Chinese
415,2175,24,18-25,Male,Medium,Low,Bangalore,Mughlai
416,9.40E+04,23,18-25,Female,Medium,Low,Bangalore,Punjabi
417,B3E6,57,46+,Female,Medium,High,Bangalore,Desserts
418,45EB,59,46+,Male,Medium,High,Bangalore,North Indian
419,3262,26,26-35,Female,Low,Medium,Bangalore,Desserts
420,6EC5,23,18-25,Male,Low,Medium,Bangalore,Mughlai
421,1F25,29,26-35,Female,Medium,Medium,Bangalore,Mughlai
422,871E,33,26-35,Male,Low,Medium,Bangalore,Lucknowi
