Traffic_Level,ID,Delivery_person_ID,weather_description,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Rating,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,temperature,humidity,precipitation,Distance_km,DeliveryTimeMins,RestaurantID,CustomerID,OrderID,Age,AgeGroup,Gender,IncomeLevel,OrderFrequency,Location,PreferredCuisine,Area,City,RestaurantName,Price,AvgRating,Total ratings,FoodType,Address,Delivery time,ReducedTime,Delivery Band,Reduced DeliveryTime
High,C23F,GOARES01DEL01,scattered clouds,Meal,motorcycle,35,3.7,15.576.683,7.375.575,15.686.683,7.386.575,28.33,67,0,24.13,40.8,226467,1377,C23F,60,46+,Female,Medium,High,Bangalore,Snacks,Kharkhana & Trimulgherry,Hyderabad,Brown Bear,250,3.4,20,Bakery  Desserts,Kharkhana & Trimulgherry,76,36.72,45+ mins,36.72
High,7AC8,COIMBRES14DEL02,mist,Drinks,motorcycle,28,4.8,11.003.681,76.975.525,11.083.681,77.055.525,23.97,78,0,15.83,50.35,421706,15,7AC8,40,36-45,Male,Medium,High,Bangalore,Gujarati,Himayath Nagar,Hyderabad,The Burger Dudes,250,2.9,80,"Continental,Fast Food,Snacks",Himayath Nagar,33,45.315,31-45 mins,45.315
High,54C3,JAPRES010DEL03,clear sky,Buffet,motorcycle,37,4.8,26.921.411,75.793.604,27.011.411,75.883.604,23.9,28,0,18.19,45.35,409646,1719,54C3,27,26-35,Female,Medium,Low,Bangalore,Punjabi,Janakpuri,Delhi,Gourmet Tandoor,150,2.9,80,"Tandoor,Indian,Chinese,Continental",Janakpuri,79,40.815,45+ mins,40.815
Moderate,7A11,MUMRES13DEL02,smoke,Snack,scooter,29,4.7,19.178.321,72.834.715,19.198.321,72.854.715,26.93,44,0,4.33,30.5,409646,4809,7A11,59,46+,Female,Medium,Medium,Bangalore,South Indian,Janakpuri,Delhi,Gourmet Tandoor,150,2.9,80,"Tandoor,Indian,Chinese,Continental",Janakpuri,79,27.45,45+ mins,27.45
High,73CC,SURRES12DEL01,clear sky,Drinks,scooter,30,4.4,21.183.434,72.814.492,21.253.434,72.884.492,22.83,42,0,14.97,42.3,2535,17,73CC,23,18-25,Male,Low,High,Bangalore,Chinese,Masab Tank,Hyderabad,Agra Sweets Banjara,250,4.3,1000,"Sweets,Desserts,Chaat,Snacks,Beverages",Road No 1,46,38.07,45+ mins,38.07
Low,A75,PUNERES11DEL01,clear sky,Buffet,motorcycle,37,4.7,18.533.811,73.899.315,18.543.811,73.909.315,19.39,64,0,2.3,13,2535,2941,A75,52,46+,Male,High,Low,Bangalore,Mughlai,Masab Tank,Hyderabad,Agra Sweets Banjara,250,4.3,1000,"Sweets,Desserts,Chaat,Snacks,Beverages",Road No 1,46,11.7,45+ mins,11.7
Moderate,B4F9,PUNERES20DEL03,clear sky,Meal,motorcycle,35,4.8,18.592.718,73.773.572,18.652.718,73.833.572,18.94,65,0,12.65,27.25,387535,5373,B4F9,20,18-25,Male,Medium,Low,Bangalore,Desserts,Perambur,Chennai,Maniammal Catering & Homemade Food,200,4.1,50,South Indian,Perambur,83,24.525,45+ mins,24.525
Low,6717,BANGRES15DEL01,mist,Meal,motorcycle,38,4.3,12.975.377,77.696.664,12.985.377,77.706.664,19.6,93,0,5.53,15.15,466013,3610,6717,34,26-35,Female,Medium,Low,Bangalore,Desserts,Central Kolkata,Kolkata,D' Ley Chinese Fast Food,300,2.9,80,"Chinese,Seafood,Beverages",Central Kolkata,44,13.635,31-45 mins,13.635
Moderate,3E9B,JAPRES08DEL03,haze,Meal,motorcycle,34,4.9,26.910.262,75.783.013,26.940.262,75.813.013,19.37,68,0,6.02,27.35,466013,4558,3E9B,30,26-35,Female,High,Low,Bangalore,North Indian,Central Kolkata,Kolkata,D' Ley Chinese Fast Food,300,2.9,80,"Chinese,Seafood,Beverages",Central Kolkata,44,24.615,31-45 mins,24.615
High,9.70E+04,MYSRES16DEL02,scattered clouds,Drinks,motorcycle,29,5,12.316.967,76.603.067,12.366.967,76.653.067,18.28,81,0,13.43,48.2,243025,23,9.70E+04,25,18-25,Female,High,Medium,Bangalore,North Indian,Vastrapur,Ahmedabad,After Dark,300,4.2,20,Indian,Vastrapur,47,43.38,45+ mins,43.38
Very Low,34C5,BANGRES06DEL01,haze,Meal,motorcycle,21,4.7,12.979.096,77.640.625,12.989.096,77.650.625,22.99,73,0,1.79,6.6,247659,9725,34C5,44,36-45,Female,Medium,Medium,Bangalore,South Indian,Narayanguda,Hyderabad,Jenny'S Brownies,300,3.2,20,"Desserts,Beverages",Old Mla Quarters Road,32,5.94,31-45 mins,5.94
High,DDC8,KNPRES05DEL02,clear sky,Meal,scooter,39,4.7,26.479.108,80.315.042,26.499.108,80.335.042,21.81,55,0,9.52,33.3,8093,27,DDC8,60,46+,Male,Low,Low,Bangalore,Chinese,Punjagutta,Hyderabad,Akson Restaurant,250,4.3,1000,"North Indian,Biryani,Kerala",Panjagutta Road,53,29.97,45+ mins,29.97
High,24AC,SURRES05DEL02,clear sky,Snack,motorcycle,27,4.6,21.175.104,72.804.342,21.255.104,72.884.342,22.88,43,0,16.35,40.8,264058,28,24AC,45,36-45,Male,Medium,Low,Bangalore,North Indian,Lake Town,Kolkata,Pipiz Kitchen,250,3.8,20,"Home Food,Bengali,Indian,Thalis,Snacks",Bangur,81,36.72,45+ mins,36.72
High,8.40E+03,HYDRES06DEL03,haze,Buffet,scooter,24,4.8,17.455.894,78.375.467,17.545.894,78.465.467,22.69,60,0,21.71,48.25,392378,2486,8.40E+03,35,26-35,Male,Low,Low,Bangalore,Desserts,Adajan,Surat,Lemon Grass Garden Restaurant,500,4.3,50,"North Indian,Chinese,Mexican,Italian,Tandoor,Ice Cream",Adajan,55,43.425,45+ mins,43.425
High,3EC5,RANCHIRES01DEL03,clear sky,Meal,motorcycle,20,4.9,23.416.792,85.316.842,23.506.792,85.406.842,17.41,69,0,18.92,35.45,204348,32,3EC5,59,46+,Female,Low,Low,Bangalore,Desserts,Kilpauk,Chennai,Bombay Halwa House,500,4.4,500,"North Indian,Punjabi,Sindhi",Kilpauk,44,31.905,31-45 mins,31.905
Moderate,1EA2,MYSRES05DEL01,clear sky,Buffet,scooter,29,4.6,12.323.978,76.627.961,12.363.978,76.667.961,20.61,67,0,10.51,28.55,204348,6473,1EA2,48,46+,Female,Low,High,Bangalore,Mughlai,Kilpauk,Chennai,Bombay Halwa House,500,4.4,500,"North Indian,Punjabi,Sindhi",Kilpauk,44,25.695,31-45 mins,25.695
High,4008,SURRES010DEL02,clear sky,Meal,electric_scooter,29,4.6,2.117.106,72.789.292,2.125.106,72.869.292,22.9,43,0,14.52,33.15,425974,37,4008,29,26-35,Male,Low,High,Bangalore,South Indian,Ra Puram,Chennai,Shri Ganesh Bhavan,250,4.6,20,South Indian,Mylapore,68,29.835,45+ mins,29.835
High,5397,PUNERES18DEL01,clear sky,Buffet,motorcycle,38,4.4,18.593.481,73.785.901,18.663.481,73.855.901,19.01,65,0,15.81,37.75,65415,44,5397,60,46+,Female,Low,Medium,Bangalore,Snacks,Athwa,Surat,The Dough Company,330,4,20,Bakery,Parle Point,34,33.975,31-45 mins,33.975
High,75D1,INDORES06DEL01,haze,Snack,motorcycle,38,4.5,22.728.163,75.884.212,22.798.163,75.954.212,23.17,60,0,16.54,39.75,65415,1373,75D1,53,46+,Female,Low,Medium,Bangalore,Snacks,Athwa,Surat,The Dough Company,330,4,20,Bakery,Parle Point,34,35.775,31-45 mins,35.775
Moderate,A89A,INDORES19DEL01,haze,Snack,scooter,33,4.8,22.745.536,75.893.106,22.815.536,75.963.106,17.21,72,0,16.14,34,65415,4864,A89A,49,46+,Female,Medium,High,Bangalore,Tandoor,Athwa,Surat,The Dough Company,330,4,20,Bakery,Parle Point,34,30.6,31-45 mins,30.6
High,3A5A,INDORES08DEL02,haze,Snack,scooter,24,4.9,22.725.748,75.898.497,22.775.748,75.948.497,17.08,72,0,13.69,36.3,33212,45,3A5A,42,36-45,Female,Low,Medium,Bangalore,Punjabi,Chembur,Mumbai,The J,300,4.4,100,"American,Fast Food,Snacks,Desserts",Chembur,45,32.67,31-45 mins,32.67
Moderate,40A7,JAPRES12DEL03,haze,Buffet,motorcycle,28,4.9,26.902.908,75.792.934,26.932.908,75.822.934,19.7,64,0,5.96,25.65,391418,4621,40A7,29,26-35,Female,High,Low,Bangalore,Punjabi,Marol Sakinaka,Mumbai,Chasity Cheesecake,350,2.9,80,"Desserts,Bakery",Marol Sakinaka,57,23.085,45+ mins,23.085
High,B4BA,HYDRES19DEL02,broken clouds,Meal,scooter,25,4.9,17.458.998,78.500.366,17.508.998,78.550.366,21.29,64,0,10.7,32.2,140552,50,B4BA,47,46+,Female,High,Low,Bangalore,North Indian,Surat,Surat,Daddy'S Cake,450,4.4,100,Desserts,Nr Gujarat Gas Circle,52,28.98,45+ mins,28.98
High,1365,INDORES06DEL02,haze,Meal,motorcycle,38,3.9,22.728.163,75.884.212,22.808.163,75.964.212,17.19,72,0,16.78,34.9,312213,54,1365,18,18-25,Female,Low,Medium,Bangalore,North Indian,Bidhannagar,Kolkata,Port 15,1000,4.2,20,"Chinese,Tandoor,Continental",Salt Lake,64,31.41,45+ mins,31.41
Very High,BE09,INDORES16DEL02,clear sky,Snack,motorcycle,28,4.6,22.744.648,75.894.377,22.874.648,76.024.377,22.24,44,0,31.62,57.4,312213,8653,BE09,45,36-45,Female,Low,Low,Bangalore,South Indian,Bidhannagar,Kolkata,Port 15,1000,4.2,20,"Chinese,Tandoor,Continental",Salt Lake,64,51.66,45+ mins,51.66
Very Low,CC1,HYDRES04DEL01,broken clouds,Buffet,motorcycle,22,4.8,17.411.028,78.329.645,17.421.028,78.339.645,21.24,67,0,1.83,9.6,312213,9598,CC1,55,46+,Male,Low,Low,Bangalore,South Indian,Bidhannagar,Kolkata,Port 15,1000,4.2,20,"Chinese,Tandoor,Continental",Salt Lake,64,8.64,45+ mins,8.64
High,7405,SURRES19DEL01,clear sky,Buffet,motorcycle,36,4.9,21.149.669,72.772.629,21.219.669,72.842.629,23.05,43,0,14.03,33.5,437892,56,7405,28,26-35,Female,Medium,Medium,Bangalore,Tandoor,Kalyani Nagar,Pune,Hapaa - Asian Stir,1500,2.9,80,"Asian,Chinese,Japanese",Kalyani Nagar,64,30.15,45+ mins,30.15
High,D80C,BHPRES04DEL02,clear sky,Meal,scooter,35,4.7,23.184.992,77.417.227,23.264.992,77.497.227,21.95,44,0,15.54,38.3,437892,2130,D80C,18,18-25,Female,Low,Medium,Bangalore,Punjabi,Kalyani Nagar,Pune,Hapaa - Asian Stir,1500,2.9,80,"Asian,Chinese,Japanese",Kalyani Nagar,64,34.47,45+ mins,34.47
High,5700,JAPRES04DEL03,clear sky,Buffet,motorcycle,36,5,26.902.328,75.794.257,26.992.328,75.884.257,23.96,28,0,17.04,46.15,6663,2057,5700,26,26-35,Male,High,Medium,Bangalore,North Indian,Kurla West,Mumbai,Mughal Dhaba,500,4,20,"Mughlai,North Indian,Chinese",Lbs Marg Kurla West,36,41.535,31-45 mins,41.535
High,A0A5,BANGRES14DEL03,mist,Snack,motorcycle,26,4.8,12.949.934,77.699.386,13.009.934,77.759.386,19.73,93,0,13.71,47.9,46864,61,A0A5,56,46+,Male,Medium,Medium,Bangalore,Gujarati,Rohini,Delhi,China Town Kathi Rolls,250,4.6,20,Fast Food,Rohini,44,43.11,31-45 mins,43.11
Low,30CA,JAPRES16DEL02,haze,Drinks,scooter,25,4.6,26.849.596,75.800.512,26.869.596,75.820.512,23.62,46,0,4.79,22.95,255436,3841,30CA,45,36-45,Male,Medium,Low,Bangalore,Tandoor,Koramangala,Bangalore,Chaat Street,200,4.2,100,"Fast Food,Snacks,Chaat,Street Food,Beverages,Combo,North Indian,Indian,Maharashtrian,Rajasthani",Btm,58,20.655,45+ mins,20.655
High,6118,INDORES09DEL01,clear sky,Snack,motorcycle,26,4.9,22.725.835,75.887.648,22.835.835,75.997.648,17.27,53,0,22.02,41.1,3883,63,6118,26,26-35,Male,Medium,Low,Bangalore,Lucknowi,Gandhi Bazaar,Bangalore,Vidyarthi Bhavan,150,4.3,1000,South Indian,Gandhi Bazar,49,36.99,45+ mins,36.99
High,8425,HYDRES04DEL02,haze,Drinks,scooter,38,4.6,17.411.028,78.329.645,17.491.028,78.409.645,22.73,60,0,20.84,44.3,3883,2494,8425,36,36-45,Female,Medium,Low,Bangalore,South Indian,Gandhi Bazaar,Bangalore,Vidyarthi Bhavan,150,4.3,1000,South Indian,Gandhi Bazar,49,39.87,45+ mins,39.87
High,77EE,HYDRES12DEL01,broken clouds,Drinks,scooter,27,4.5,17.429.585,78.392.621,17.469.585,78.432.621,21.43,65,0,9.43,41.55,44388,65,77EE,41,36-45,Male,Medium,High,Bangalore,South Indian,Ellisbridge,Ahmedabad,Alinea Restaurant & Banquet,550,4.1,100,"Indian,Chinese,Continental,Italian,Mexican",Paldi,32,37.395,31-45 mins,37.395
High,2192,BANGRES07DEL01,mist,Buffet,motorcycle,32,4.1,12.978.453,77.643.685,13.048.453,77.713.685,19.5,93,0,12.76,42.65,285177,66,2192,36,36-45,Female,Medium,Low,Bangalore,Gujarati,Sion,Mumbai,"Poojari Pav	Bhaji",150,4,20,Fast Food,Matunga Wadala,51,38.385,45+ mins,38.385
Moderate,DA92,AGRRES01DEL03,clear sky,Buffet,motorcycle,37,4.8,27.161.661,78.011.544,27.191.661,78.041.544,21.78,51,0,8.61,27.4,403197,5447,DA92,45,36-45,Male,Medium,Medium,Bangalore,South Indian,Central Bangalore,Bangalore,The Dessert Zone,200,3.9,20,"Bakery,Desserts,Ice Cream,Beverages",Central Bangalore,47,24.66,45+ mins,24.66
High,6C4D,VADRES05DEL01,clear sky,Buffet,scooter,30,4.6,22.310.526,73.170.937,22.420.526,73.280.937,22.47,44,0,21.29,42.5,402101,70,6C4D,58,46+,Female,Medium,Medium,Bangalore,Biryani,George Town,Chennai,Lassi N Spicy,200,3.8,50,"Beverages,Juices,Ice Cream,Snacks,American,Arabian,Grill",Tondiarpet,61,38.25,45+ mins,38.25
High,DD96,KNPRES16DEL01,clear sky,Meal,scooter,32,4.8,26.482.581,80.315.628,26.552.581,80.385.628,21.73,56,0,15.4,37.45,459817,71,DD96,45,36-45,Male,Medium,Medium,Bangalore,Lucknowi,Andheri East,Mumbai,The Curry Story,400,2.9,80,"Indian,Biryani,Beverages",Andheri East,63,33.705,45+ mins,33.705
Low,8A0C,MUMRES06DEL01,smoke,Snack,motorcycle,20,5,19.055.831,72.833.984,19.065.831,72.843.984,28.02,57,0,3.66,24.55,459817,4444,8A0C,32,26-35,Female,High,Low,Bangalore,Mughlai,Andheri East,Mumbai,The Curry Story,400,2.9,80,"Indian,Biryani,Beverages",Andheri East,63,22.095,45+ mins,22.095
High,7EF7,COIMBRES16DEL02,mist,Buffet,motorcycle,31,4.5,11.010.375,7.695.295,11.090.375,7.703.295,24.95,73,0,17.3,44.9,450543,72,7EF7,52,46+,Female,Medium,Low,Bangalore,Mughlai,Perambur,Chennai,Afresh,100,5,20,"Healthy Food,Salads,Desserts,Beverages",Perambur,50,40.41,45+ mins,40.41
High,2391,INDORES13DEL03,clear sky,Buffet,scooter,33,4.5,22.745.049,75.892.471,22.835.049,75.982.471,17.25,53,0,19,36.1,420184,74,2391,40,36-45,Female,Low,High,Bangalore,Lucknowi,Salt Lake,Kolkata,Dawat Patrified,500,2.9,80,"Chinese,Indian,Desserts",Salt Lake,69,32.49,45+ mins,32.49
High,D902,KOCRES14DEL01,mist,Drinks,motorcycle,32,4.4,10.027.014,76.308.053,10.137.014,76.418.053,23.95,88,0,21.08,56.25,319644,77,D902,33,26-35,Female,High,High,Bangalore,Mughlai,Ellisbridge,Ahmedabad,Harmony Resto Cafe,300,3.9,50,"Fast Food,Snacks,Beverages",Navrangpura,32,50.625,31-45 mins,50.625
High,4EA4,SURRES010DEL02,clear sky,Drinks,scooter,21,4.7,2.117.106,72.789.292,2.125.106,72.869.292,24.94,43,0,14.52,40.3,428979,2434,4EA4,57,46+,Female,High,Medium,Bangalore,Lucknowi,Rohini,Delhi,Dine House,500,2.9,80,"Italian,Chinese,Tandoor,North Indian",Rohini,38,36.27,31-45 mins,36.27
Moderate,34CE,COIMBRES15DEL01,mist,Drinks,scooter,31,4.6,11.006.686,76.951.736,11.046.686,76.991.736,24.8,73,0,9.04,39.6,435779,4788,34CE,27,26-35,Female,Medium,Medium,Bangalore,North Indian,Central Kolkata,Kolkata,Kwality Walls Frozen Dessert And Ice Cream Shop,300,2.9,80,Ice Cream,Central Kolkata,45,35.64,31-45 mins,35.64
Moderate,6E7B,SURRES04DEL01,clear sky,Meal,motorcycle,30,4.9,21.173.493,72.801.953,21.213.493,72.841.953,23.15,43,0,8.48,22.2,445065,5532,6E7B,52,46+,Male,High,Low,Bangalore,Snacks,Gautam Buddha Nagar,Mumbai,Bammaye Chinese,300,2.9,80,Chinese,Scruz Bandra East,38,19.98,31-45 mins,19.98
High,8DD7,COIMBRES20DEL02,mist,Meal,motorcycle,30,4.5,10.994.136,76.963.303,11.074.136,77.043.303,25.03,73,0,15.4,34.45,338704,1152,8DD7,42,36-45,Female,Medium,Low,Bangalore,Chinese,Andheri East,Mumbai,Lazeez,350,4.1,50,North Indian  Mughlai,Andheri East,60,31.005,45+ mins,31.005
High,43B9,HYDRES18DEL03,broken clouds,Meal,motorcycle,33,4.8,17.450.851,78.379.347,17.510.851,78.439.347,21.25,64,0,13.4,38.15,453959,88,43B9,34,26-35,Female,Medium,High,Bangalore,Snacks,Central Kolkata,Kolkata,The Red Velvet Bakery,200,2.9,80,Bakery  Fast Food  Snacks,Central Kolkata,57,34.335,45+ mins,34.335
High,1B40,MYSRES02DEL03,broken clouds,Snack,motorcycle,34,4.2,12.304.569,76.643.622,12.364.569,76.703.622,18.3,81,0,13.89,45.15,457542,90,1B40,40,36-45,Male,Low,High,Bangalore,Punjabi,Rohini,Delhi,Shahi Tandoor,300,2.9,80,"Tandoor,Indian",Rohini,47,40.635,45+ mins,40.635
High,89EC,COIMBRES14DEL02,haze,Meal,scooter,30,4.6,11.003.681,76.975.525,11.083.681,77.055.525,25.97,73,0,15.83,35.15,424595,2701,89EC,26,26-35,Male,Low,Low,Bangalore,Punjabi,Isanpur,Ahmedabad,Vipul Dudhiya Sweets (Nilkanth Enterprise),200,2.9,80,"Sweets,Snacks,Bakery",Isanpur,48,31.635,45+ mins,31.635
High,A200,SURRES07DEL01,clear sky,Drinks,motorcycle,30,4.7,21.170.798,72.790.489,21.280.798,72.900.489,22.85,43,0,22.18,53.6,263360,95,A200,54,46+,Male,High,Low,Bangalore,Mughlai,Jadavpur,Kolkata,Riyasat,1000,4.8,20,North Indian,South City Mall,94,48.24,45+ mins,48.24
Very High,841B,BANGRES18DEL01,mist,Drinks,motorcycle,24,4.6,12.913.041,77.683.237,13.023.041,77.793.237,19.52,93,0,26.77,70.6,263360,8275,841B,39,36-45,Female,Medium,High,Bangalore,Chinese,Jadavpur,Kolkata,Riyasat,1000,4.8,20,North Indian,South City Mall,94,63.54,45+ mins,63.54
Moderate,91F2,MYSRES12DEL03,clear sky,Meal,motorcycle,28,4.9,12.284.747,76.625.861,12.344.747,76.685.861,20.61,67,0,14.61,28.45,371878,5630,91F2,34,26-35,Male,Low,Medium,Bangalore,Lucknowi,Rohini,Delhi,Haunted Kitchen,150,2.9,80,"Indian,Pizzas,Biryani,Beverages",Rohini,36,25.605,31-45 mins,25.605
Moderate,5BAE,MYSRES19DEL03,scattered clouds,Snack,electric_scooter,29,4.6,12.334.022,76.618.203,12.394.022,76.678.203,18.4,82,0,13.56,27.55,354893,5348,5BAE,30,26-35,Female,Medium,Medium,Bangalore,North Indian,Patel  Nagar,Delhi,Sk 2 Pizza And Burger,200,2.9,80,"Pizzas,Continental",Kirti Nagar,71,24.795,45+ mins,24.795
High,1.20E+08,INDORES07DEL03,clear sky,Meal,electric_scooter,33,3.9,22.722.634,75.886.959,22.812.634,75.976.959,17.21,53,0,19.02,39.5,47421,100,1.20E+08,25,18-25,Male,Medium,Medium,Bangalore,Mughlai,Gurukul,Ahmedabad,Cocoa Drama,150,4.2,20,Desserts,Vastrapur,45,35.55,31-45 mins,35.55
Very Low,47FC,CHENRES09DEL01,mist,Meal,electric_scooter,39,4.2,13.044.694,8.026.147,13.054.694,8.027.147,28.37,81,0,2.29,13.5,47421,9912,47FC,45,36-45,Female,High,High,Bangalore,Chinese,Gurukul,Ahmedabad,Cocoa Drama,150,4.2,20,Desserts,Vastrapur,45,12.15,31-45 mins,12.15
Moderate,7C4D,RANCHIRES16DEL01,mist,Buffet,motorcycle,20,4.9,23.371.292,85.327.872,23.411.292,85.367.872,20.11,83,0,7.62,26.55,106049,6456,7C4D,28,26-35,Female,Medium,Low,Bangalore,Biryani,Adajan,Surat,The Foodiez Point,200,3.9,20,"Chinese,Combo,Singaporean,Asian",Opp Gail Tower,46,23.895,45+ mins,23.895
High,5A07,MYSRES02DEL02,scattered clouds,Drinks,motorcycle,34,4.7,12.304.569,76.643.622,12.354.569,76.693.622,17.97,77,0,12.84,46.75,20526,102,5A07,57,46+,Female,High,High,Bangalore,Chinese,Sector 3 Rohini,Delhi,Sahni Fish Corner,700,4.2,50,Indian,Sector-8,33,42.075,31-45 mins,42.075
High,340F,SURRES05DEL01,clear sky,Buffet,scooter,26,4.6,21.175.104,72.804.342,21.245.104,72.874.342,22.9,43,0,14.85,35.05,48902,103,340F,40,36-45,Female,Low,Low,Bangalore,Gujarati,Ballygunge,Kolkata,Mithai,150,4.7,1000,Desserts,Opposite Quest Mall,50,31.545,45+ mins,31.545
High,52EC,MYSRES01DEL01,clear sky,Drinks,motorcycle,23,4.6,12.311.072,76.654.878,12.381.072,76.724.878,20.59,68,0,13.96,42.55,48902,1947,52EC,59,46+,Male,High,Low,Bangalore,Gujarati,Ballygunge,Kolkata,Mithai,150,4.7,1000,Desserts,Opposite Quest Mall,50,38.295,45+ mins,38.295
High,4006,COIMBRES17DEL03,mist,Drinks,scooter,29,4.6,11.026.117,76.944.652,11.086.117,77.004.652,24.78,73,0,13.92,46.55,50933,490,4006,43,36-45,Male,Low,Low,Bangalore,Chinese,Navrangpura,Ahmedabad,Shree Manmohan Kharek Center,100,2.9,80,Snacks,Navrangpura,38,41.895,31-45 mins,41.895
High,BA70,HYDRES17DEL03,broken clouds,Snack,scooter,29,5,17.451.976,78.385.883,17.511.976,78.445.883,21.23,64,0,12.73,36.7,50933,585,BA70,21,18-25,Male,Medium,Low,Bangalore,North Indian,Navrangpura,Ahmedabad,Shree Manmohan Kharek Center,100,2.9,80,Snacks,Navrangpura,38,33.03,31-45 mins,33.03
Low,C683,DEHRES14DEL01,clear sky,Snack,motorcycle,36,4.8,30.319.528,78.040.267,30.359.528,78.080.267,17.44,76,0,6.88,21.5,8766,3677,C683,36,36-45,Female,Medium,Medium,Bangalore,Mughlai,Ashok Nagar,Bangalore,Beijing Bites,450,4.2,500,Chinese,Richmond Road,33,19.35,31-45 mins,19.35
High,1875,COIMBRES19DEL01,mist,Drinks,scooter,29,4.9,11.022.298,76.998.349,11.132.298,77.108.349,25.15,73,0,21.2,54.8,447779,108,1875,43,36-45,Female,Low,Medium,Bangalore,Lucknowi,Marol Sakinaka,Mumbai,Kings Shawarma,150,2.9,80,Snacks,Marol Sakinaka,44,49.32,31-45 mins,49.32
